timestamp_ms,frame,subframe,rnti,direction,nb_rb,rb_util,mcs,tbs_bytes,sdu_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score,qos_alpha,cqi_profile,harq_pid
8370,837,0,8a90,DL,2,8.00,7,28,24,15,0,1,475.34,7.49,5.0000,0,2
8386,838,6,8a90,DL,2,8.00,0,4,2,15,0,1,411.78,8.65,5.0000,0,2
8400,840,0,8a90,DL,2,8.00,3,13,10,15,0,1,390.94,9.11,5.0000,0,0
8413,841,3,8a90,DL,2,8.00,0,4,2,15,0,1,376.26,9.46,5.0000,0,5
8414,841,4,8a90,DL,2,8.00,5,18,17,15,0,1,379.62,9.38,5.0000,0,6
8436,843,6,8a90,DL,2,8.00,0,4,2,14,0,1,322.09,9.56,5.0000,0,4
8437,843,7,8a90,DL,4,16.00,16,153,151,14,0,1,325.03,9.48,5.0000,0,5
8456,845,6,8a90,DL,2,8.00,0,4,2,14,0,1,308.03,10.00,5.0000,0,0
8466,846,6,8a90,DL,2,8.00,1,7,4,14,0,1,302.20,10.19,5.0000,0,2
8471,847,1,8a90,DL,2,8.00,11,41,37,14,0,1,299.53,10.28,5.0000,0,7
8487,848,7,8a90,DL,2,8.00,11,41,37,14,0,1,289.46,10.64,5.0000,0,7
8501,850,1,8a90,DL,2,8.00,1,7,4,15,0,1,310.44,11.47,5.0000,0,5
8503,850,3,8a90,DL,2,8.00,11,41,37,15,0,1,311.38,11.43,5.0000,0,7
8527,852,7,8a90,DL,2,8.00,0,4,2,15,0,1,302.02,11.79,5.0000,0,7
2092,209,2,4a4b,DL,2,8.00,0,4,2,15,0,1,10.00,8.54,1.2000,0,4
6466,646,6,8a90,DL,2,8.00,0,4,2,15,0,1,271.51,13.11,5.0000,0,2
9063,906,3,68b4,DL,2,8.00,0,4,2,14,0,1,236.21,13.04,5.0000,0,7
10017,1001,7,8cff,DL,4,16.00,0,11,2,0,0,1,809.73,0.20,5.0000,2,1
10033,1003,3,8cff,DL,14,56.00,0,47,44,0,0,1,689.45,0.24,5.0000,2,1
10034,1003,4,8cff,DL,2,8.00,0,4,0,0,0,1,682.55,0.24,5.0000,2,2
10035,1003,5,8cff,DL,2,8.00,0,4,0,0,0,1,675.73,0.24,5.0000,2,3
10036,1003,6,8cff,DL,2,8.00,0,4,0,0,0,1,668.97,0.25,5.0000,2,4
10037,1003,7,8cff,DL,2,8.00,0,4,0,0,0,1,662.28,0.25,5.0000,2,5
10038,1003,8,8cff,DL,2,8.00,0,4,0,0,0,1,655.66,0.25,5.0000,2,6
10039,1003,9,8cff,DL,2,8.00,0,4,0,0,0,1,649.10,0.25,5.0000,2,7
10040,1004,0,8cff,DL,2,8.00,0,4,0,0,0,1,642.61,0.26,5.0000,2,0
10041,1004,1,8cff,DL,2,8.00,0,4,0,0,0,1,636.19,0.26,5.0000,2,1
10042,1004,2,8cff,DL,2,8.00,0,4,0,0,0,1,629.82,0.26,5.0000,2,2
10043,1004,3,8cff,DL,2,8.00,0,4,0,0,0,1,623.53,0.26,5.0000,2,3
10044,1004,4,8cff,DL,2,8.00,1,7,4,7,0,1,617.29,0.58,5.0000,1,4
10052,1005,2,8cff,DL,2,8.00,1,7,0,7,1,1,569.60,0.63,5.0000,1,4
