timestamp_ms,frame,subframe,rnti,direction,nb_rb,mcs,tbs_bytes,cqi,retx,hol_delay_ms,avg_thr_kbps,mlwdf_score
6697,669,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
6814,681,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7126,712,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7244,724,4,1a69,DL,18,28,1692,15,0,16,712.00,24.00
7556,755,6,7e22,DL,18,28,1692,15,0,16,712.00,24.00
7680,768,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
7997,799,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
8121,812,1,1a69,DL,18,28,1692,15,0,16,712.00,24.00
8450,845,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
8570,857,0,1a69,DL,17,28,1572,15,0,16,712.00,24.00
8889,888,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9016,901,6,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9347,934,7,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9469,946,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
9794,979,4,7e22,DL,18,28,1692,15,0,16,712.00,24.00
9919,991,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
10,1,0,7e22,DL,17,28,1572,15,0,16,712.00,24.00
133,13,3,1a69,DL,18,28,1692,15,0,16,712.00,24.00
441,44,1,7e22,DL,18,28,1692,15,0,16,712.00,24.00
461,46,1,1a69,DL,2,0,4,15,0,1,712.00,1.50
559,55,9,1a69,DL,18,28,1692,15,0,16,712.00,24.00
862,86,2,7e22,DL,18,28,1692,15,0,16,712.00,24.00
978,97,8,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1299,129,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
1415,141,5,1a69,DL,18,28,1692,15,0,16,712.00,24.00
1749,174,9,7e22,DL,18,28,1692,15,0,16,712.00,24.00
